Timestamp,Open,High,Low,Close,Volume,Quote Asset Volume,Number of Trades,Taker Buy Asset Volume,Taker Quote Asset Volume
1587566580000,15.7279,15.7374,15.7279,15.7308,789.19,12416.356061,31.0,754.11,11864.544518
1587566640000,15.732000000000001,15.745,15.7242,15.7448,2010.84,31636.103189999998,93.0,1939.85,30519.707430000002
1587566700000,15.7448,15.7833,15.7448,15.75,23285.65,367137.85044899996,184.0,2075.89,32727.272288
1587566760000,15.75,15.7816,15.7355,15.7799,1871.15,29486.139801999998,115.0,1226.61,19329.008578999998
1587566820000,15.7816,15.7816,15.755,15.7602,1750.5,27605.622176999997,68.0,776.24,12240.04572
1587566880000,15.7778,15.7778,15.7584,15.7629,1184.48,18673.505558,47.0,452.22,7128.496992
1587566940000,15.7638,15.7638,15.7221,15.7402,1831.25,28820.152406999998,103.0,928.78,14614.483948
1587567000000,15.7463,15.76,15.7412,15.7472,941.18,14826.666152000002,50.0,831.67,13101.949831999998
1587567060000,15.7499,15.7499,15.725,15.725999999999999,1346.62,21188.143711,48.0,255.69,4023.5648079999996
1587567120000,15.725,15.7253,15.6741,15.6838,3080.56,48372.224246,189.0,358.06,5623.335324000002
1587567180000,15.6771,15.6859,15.6761,15.6796,1808.41,28356.808925,80.0,494.87,7761.15128
1587567240000,15.681,15.6947,15.681,15.6944,858.31,13466.651998,55.0,543.15,8522.753811
1587567300000,15.6947,15.7034,15.6858,15.6958,1337.37,20991.734053,79.0,652.57,10242.862985
1587567360000,15.6898,15.7035,15.6898,15.6936,3514.09,55165.608883,67.0,849.24,13329.879578
1587567420000,15.6902,15.6935,15.6765,15.6881,1155.39,18125.123544,52.0,378.55,5939.019478
1587567480000,15.6881,15.6881,15.675,15.679,1444.8,22656.064918,58.0,596.86,9361.738277
1587567540000,15.685,15.6949,15.6751,15.6949,1921.58,30144.156491,55.0,1487.66,23341.485243
1587567600000,15.6949,15.7066,15.6931,15.7066,1837.41,28846.878123000002,64.0,928.49,14577.088313
1587567660000,15.7056,15.7185,15.7055,15.7116,899.06,14123.714702000001,53.0,357.14,5611.045666
1587567720000,15.7032,15.7032,15.6813,15.6824,2278.73,35748.608089,77.0,571.16,8960.833445
1587567780000,15.6858,15.6948,15.6824,15.6941,503.83,7904.792817,27.0,245.56,3853.5864090000014
1587567840000,15.6939,15.7131,15.6857,15.6964,1330.55,20887.476621,69.0,609.61,9569.776037
1587567900000,15.691,15.6963,15.677,15.6852,1290.38,20246.33007,60.0,350.61,5502.398222999997
